REQUIREMENT_DESIGNATION,COURSE,TITLE,UNITS_MINIMUM,UNITS_MAXIMUM,RQMNT_DESIGNTN,LS_ESSENTIAL_SKILL,FIRST_TERM,LAST_TERM,CRSE_ID,FIRST_TERM_CODE,LAST_TERM_CODE
Aesthetic and Humanistic Inquiry,ARH 143H,INTRO ARTS OF ASIA - HONORS,3,3,AHIG,,Spring 2010,Summer 2012,009889,1101,1124
Aesthetic and Humanistic Inquiry,ARH 220,FEMINISM AND VISUAL CULTURE,3,3,AHI,Critical Thinking,Fall 2013,,011110,1137,
Aesthetic and Humanistic Inquiry,ARH 220H,FEMINISM & VIS CULTR - HONORS,3,3,AHI,Critical Thinking,Fall 2014,,011547,1147,
Aesthetic and Humanistic Inquiry,ARH 250,EXPLORING MUSEUMS,3,3,AHI,Critical Thinking,Spring 2013,Summer 2014,010509,1131,1144
Aesthetic and Humanistic Inquiry,ARH 257,CULTURAL HISTORY OF PHOTO,3,3,AHI,Critical Thinking,Fall 2012,,009439,1127,
Aesthetic and Humanistic Inquiry,ARH 257,CULTURAL HISTORY OF PHOTO,3,3,AHI,,Fall 2003,Summer 2012,009439,1037,1124
Aesthetic and Humanistic Inquiry,ARH 269,ARTS OF CHINA,3,3,AHIG,Effective Writing,Fall 2012,,009875,1127,
Aesthetic and Humanistic Inquiry,ARH 269,ARTS OF CHINA,3,3,AHIG,,Spring 2008,Summer 2012,009875,1081,1124
Aesthetic and Humanistic Inquiry,ARH 269,ARTS OF CHINA,3,3,AHI,,Spring 2006,Winter 2007,009875,1061,1078
Aesthetic and Humanistic Inquiry,ARH 270,ARTS OF JAPAN,3,3,AHIG,Critical Thinking,Fall 2012,,009539,1127,
Aesthetic and Humanistic Inquiry,ARH 270,ARTS OF JAPAN,3,3,AHIG,,Fall 2005,Summer 2012,009539,1057,1124
Aesthetic and Humanistic Inquiry,ARH 270,ARTS OF JAPAN,3,3,AHI,,Fall 2004,Summer 2005,009539,1047,1054
Aesthetic and Humanistic Inquiry,ARH 344,ITALIAN RENAISSANCE ART,3,3,AHI,Effective Writing,Fall 2012,,000486,1127,
Aesthetic and Humanistic Inquiry,ARH 344,ITALIAN RENAISSANCE ART,3,3,AHI,,Fall 2010,Summer 2012,000486,1107,1124
Aesthetic and Humanistic Inquiry,ARH 347,NINETEENTH CENTURY ART,3,3,AHI,Critical Thinking,Fall 2012,,000489,1127,
Aesthetic and Humanistic Inquiry,ARH 347,NINETEENTH CENTURY ART,3,3,AHI,,Spring 2010,Summer 2012,000489,1101,1124
Aesthetic and Humanistic Inquiry,ARH 370,BUDDHIST ART,3,3,AHIG,Effective Writing,Fall 2012,,009417,1127,
Aesthetic and Humanistic Inquiry,ARH 370,BUDDHIST ART,3,3,AHIG,,Fall 2005,Summer 2012,009417,1057,1124
Aesthetic and Humanistic Inquiry,ARH 370,BUDDHIST ART,3,3,AHI,,Fall 2003,Summer 2005,009417,1037,1054
Aesthetic and Humanistic Inquiry,ARH 380,ISLAMIC ART,3,3,AHIG,Effective Writing,Fall 2012,,009876,1127,
Aesthetic and Humanistic Inquiry,ARH 380,ISLAMIC ART,3,3,AHIG,,Spring 2008,Summer 2012,009876,1081,1124
Aesthetic and Humanistic Inquiry,ARH 380,ISLAMIC ART,3,3,AHI,,Spring 2006,Winter 2007,009876,1061,1078
Aesthetic and Humanistic Inquiry,ART 100,ART APPRECIATION,3,3,AHI,Effective Writing,Fall 2012,,000510,1127,
Aesthetic and Humanistic Inquiry,ART 100,ART APPRECIATION,3,3,AHI,,Fall 2000,Summer 2012,000510,1007,1124
Aesthetic and Humanistic Inquiry,ART 100,UNDERSTANDING ART,3,3,AHI,,Fall 1999,Sumr 10 Wk 2000,000510,0997,1006
Aesthetic and Humanistic Inquiry,ART 101,INTRODUCTION TO STUDIO ARTS,3,3,AHI,Critical Thinking,Fall 2012,,000511,1127,
Aesthetic and Humanistic Inquiry,ART 101,INTRODUCTION TO STUDIO ARTS,3,3,AHI,,Spring 2005,Summer 2012,000511,1051,1124
Aesthetic and Humanistic Inquiry,ART 101,INTRO TO STUDIO ARTS,3,3,AHI,,Fall 1999,Winter 2004,000511,0997,1048
Aesthetic and Humanistic Inquiry,ART 123,COLOR AND LIGHT,3,3,AHI,,Fall 2002,Spring 2010,000516,1027,1101
Aesthetic and Humanistic Inquiry,ART 142,SILK-SCREEN PRINTMAKING,3,3,AHI,Critical Thinking,Fall 2012,,000523,1127,
Aesthetic and Humanistic Inquiry,ART 142,SILK-SCREEN PRINTMAKING,3,3,AHI,,Fall 2005,Summer 2012,000523,1057,1124
Aesthetic and Humanistic Inquiry,ART 143,INTRO TO HANDMADE BOOKS,3,3,AHI,Critical Thinking,Fall 2014,,011568,1147,
Aesthetic and Humanistic Inquiry,ART 150,TWO-DIMEN DESIGN FUNDAMENTALS,3,3,AHI,Critical Thinking,Fall 2012,,000526,1127,
Aesthetic and Humanistic Inquiry,ART 150,TWO-DIMEN DESIGN FUNDAMENTALS,3,3,AHI,,Spring 2005,Summer 2012,000526,1051,1124
Aesthetic and Humanistic Inquiry,ART 150,TWO-DIMEN DESIGN,3,3,AHI,,Fall 1999,Winter 2004,000526,0997,1048
Aesthetic and Humanistic Inquiry,ART 151,THREE-DIMEN DESIGN FUNDAMENTLS,3,3,AHI,Critical Thinking,Fall 2012,,000527,1127,
Aesthetic and Humanistic Inquiry,ART 151,THREE-DIMEN DESIGN FUNDAMENTLS,3,3,AHI,,Spring 2005,Summer 2012,000527,1051,1124
Aesthetic and Humanistic Inquiry,ART 151,THREE-DIMEN DESIGN,3,3,AHI,,Fall 1999,Winter 2004,000527,0997,1048
Aesthetic and Humanistic Inquiry,ART 161,CERAMICS I,3,3,AHI,Critical Thinking,Fall 2012,,000531,1127,
Aesthetic and Humanistic Inquiry,ART 161,CERAMICS I,3,3,AHI,,Fall 1999,Summer 2012,000531,0997,1124
Aesthetic and Humanistic Inquiry,ART 171,JEWELRY AND METALSMITHING I,3,3,AHI,Critical Thinking,Fall 2012,,000533,1127,
Aesthetic and Humanistic Inquiry,ART 171,JEWELRY AND METALSMITHING I,3,3,AHI,,Spring 2005,Summer 2012,000533,1051,1124
Aesthetic and Humanistic Inquiry,ART 171,JEWELRY/METALS I,3,3,AHI,,Fall 1999,Winter 2004,000533,0997,1048
Aesthetic and Humanistic Inquiry,ART 181,SCULPTURE I,3,3,AHI,Critical Thinking,Fall 2012,,000535,1127,
Aesthetic and Humanistic Inquiry,ART 181,SCULPTURE I,3,3,AHI,,Fall 1999,Summer 2012,000535,0997,1124
Aesthetic and Humanistic Inquiry,ART 181H,SCULPTURE I - HONORS,3,3,AHI,Critical Thinking,Fall 2012,,000536,1127,
Aesthetic and Humanistic Inquiry,ART 181H,SCULPTURE I,3,3,AHI,,Spring 2002,Summer 2012,000536,1021,1124
Aesthetic and Humanistic Inquiry,ART 200,VISUAL AESTH FOR A CNTMP CULT,3,3,AHI,,Spring 2005,Fall 2008,000540,1051,1087
Aesthetic and Humanistic Inquiry,ART 200,VIS AESTH/CNTMP CULT,3,3,AHI,,Fall 2000,Winter 2004,000540,1007,1048
Aesthetic and Humanistic Inquiry,ART 258,INTRODUCTION TO VIDEO ART,3,3,AHI,,Fall 2014,,011569,1147,
Aesthetic and Humanistic Inquiry,ART 300,CONTEMPORARY ART TRENDS,3,3,AHI,Critical Thinking,Fall 2012,,000572,1127,
Aesthetic and Humanistic Inquiry,ART 300,CONTEMPORARY ART TRENDS,3,3,AHI,,Spring 2005,Summer 2012,000572,1051,1124
Aesthetic and Humanistic Inquiry,ART 300,CONTEMP ART TRENDS,3,3,AHI,,Fall 2002,Winter 2004,000572,1027,1048
Aesthetic and Humanistic Inquiry,CCJ 215,"CRIME, JUSTICE, AND THE MEDIA",3,3,AHI,Critical Thinking,Fall 2012,,001446,1127,
Aesthetic and Humanistic Inquiry,CCJ 215,"CRIME, JUSTICE, AND THE MEDIA",3,3,AHI,,Fall 2008,Summer 2012,001446,1087,1124
Aesthetic and Humanistic Inquiry,CCJ 314,HOLLYWOOD AND CRIME,4,4,AHI,Critical Thinking,Fall 2012,,001458,1127,
Aesthetic and Humanistic Inquiry,CCJ 314,HOLLYWOOD AND CRIME,4,4,AHI,,Fall 2008,Summer 2012,001458,1087,1124
Aesthetic and Humanistic Inquiry,CCJ 314H,HOLLYWOOD AND CRIME - HONORS,4,4,AHI,Critical Thinking,Spring 2014,,011456,1141,
Aesthetic and Humanistic Inquiry,CCS 250,CULTURAL PERSPECTIVES,3,3,AHI,Critical Thinking,Fall 2012,,010610,1127,
Aesthetic and Humanistic Inquiry,CCS 250,CULTURAL PERSPECTIVES,3,3,AHI,,Fall 2011,Summer 2012,010610,1117,1124
Aesthetic and Humanistic Inquiry,CCS 250H,CULTURAL PERSPECTIVES - HONORS,3,3,AHI,Critical Thinking,Summer 2013,,011352,1134,
Aesthetic and Humanistic Inquiry,CCSU 351W,INTERDISC RESEARCH & WRITING,3,3,AHI,Effective Writing,Spring 2013,,011028,1131,
Aesthetic and Humanistic Inquiry,CCSU 490C,1960'S AMERICAN CINEMA,3,3,AHI,Critical Thinking,Spring 2013,,011029,1131,
Aesthetic and Humanistic Inquiry,CHP 300,APPL HLTH CARE ETHICS,3,3,AHI,,Spring 2003,Fall 2004,009349,1031,1047
Aesthetic and Humanistic Inquiry,CHP 300W,APPLIED ETHICS IN HEALTH CARE,3,3,AHI,,Spring 2003,Summer 2005,009376,1031,1054
Aesthetic and Humanistic Inquiry,CINE 101,INTRO/CINEMA & VISUAL CULTURE,3,3,AHI,Effective Writing,Fall 2012,,010297,1127,
Aesthetic and Humanistic Inquiry,CINE 101,INTRO/CINEMA & VISUAL CULTURE,3,3,AHI,,Fall 2011,Summer 2012,010297,1117,1124
Aesthetic and Humanistic Inquiry,CINE 101H,INTRO/CINEMA & VISUAL CULTURE,3,3,AHI,Effective Writing,Fall 2012,,010348,1127,
Aesthetic and Humanistic Inquiry,CINE 101H,INTRO/CINEMA & VISUAL CULTURE,3,3,AHI,,Fall 2011,Summer 2012,010348,1117,1124
Aesthetic and Humanistic Inquiry,CINE 232,CINEMA AND BORDERS,3,3,AHIG,,Fall 2014,,010854,1147,
Aesthetic and Humanistic Inquiry,CINE 267,1960S AMERICAN FILM,3,3,AHI,Critical Thinking,Fall 2014,,011016,1147,
Aesthetic and Humanistic Inquiry,CINE 267,1960S AMERICAN FILM,3,3,AHI,Effective Writing,Fall 2014,,011016,1147,
Aesthetic and Humanistic Inquiry,CINE 380,VALUES IN POSTWAR CINEMA,3,3,AHI,Effective Writing,Fall 2014,,010454,1147,
Aesthetic and Humanistic Inquiry,CINE 383,TOPICS IN WORLD CINEMA,3,3,AHI,,Fall 2014,,010498,1147,
Aesthetic and Humanistic Inquiry,CJ 215,"CRIME, JUSTICE, AND THE MEDIA",3,3,AHI,,Spring 2005,Summer 2008,001446,1051,1084
Aesthetic and Humanistic Inquiry,CJ 215,"CRIME,JUSTICE,&MEDIA",3,3,AHI,,Fall 1999,Winter 2004,001446,0997,1048
Aesthetic and Humanistic Inquiry,CJ 314,HOLLYWOOD AND CRIME,4,4,AHI,,Fall 2004,Summer 2008,001458,1047,1084
Aesthetic and Humanistic Inquiry,CJ 314,HOLLYWOOD & CRIME,4,4,AHI,,Fall 1999,Summer 2004,001458,0997,1044
Aesthetic and Humanistic Inquiry,COM 250,ENVIRON PERSPCT ON COMM ARTS,3,3,AHI,Effective Writing,Fall 2012,,001617,1127,
Aesthetic and Humanistic Inquiry,COM 250,ENVIRON PERSPCT ON COMM ARTS,3,3,AHI,,Spring 2005,Summer 2012,001617,1051,1124
Aesthetic and Humanistic Inquiry,COM 250,ENV PERSP COM ARTS,3,3,AHI,,Fall 1999,Winter 2004,001617,0997,1048
Aesthetic and Humanistic Inquiry,COM 382,THE ART OF COMMUNICATION,3,3,AHI,,Spring 2005,Summer 2010,001624,1051,1104
Aesthetic and Humanistic Inquiry,COM 382,ART OF COMMUNICATION,3,3,AHI,,Fall 1999,Winter 2004,001624,0997,1048
Aesthetic and Humanistic Inquiry,CVC 101,INTRO/CINEMA & VISUAL CULTURE,3,3,AHI,,Spring 2009,Summer 2011,010297,1091,1114
Aesthetic and Humanistic Inquiry,CVC 101H,INTRO/CINEMA & VISUAL CULTURE,3,3,AHI,,Fall 2009,Summer 2011,010348,1097,1114
Aesthetic and Humanistic Inquiry,EMF 382,THE ART OF CINEMA,3,3,AHI,Critical Thinking,Fall 2012,,001624,1127,
Aesthetic and Humanistic Inquiry,EMF 382,THE ART OF CINEMA,3,3,AHI,,Fall 2010,Summer 2012,001624,1107,1124
Aesthetic and Humanistic Inquiry,EMF 382H,THE ART OF CINEMA - HONORS,3,3,AHI,Critical Thinking,Fall 2013,,011341,1137,
Aesthetic and Humanistic Inquiry,ENG 110,RHETORIC IN THE MEDIA,3,3,AHI,Effective Writing,Fall 2012,,002608,1127,
Aesthetic and Humanistic Inquiry,ENG 110,RHETORIC IN THE MEDIA,3,3,AHI,,Spring 2005,Summer 2012,002608,1051,1124
Aesthetic and Humanistic Inquiry,ENG 110,RHETORIC IN MEDIA,3,3,AHI,,Summer I 2001,Winter 2004,002608,1013,1048
Aesthetic and Humanistic Inquiry,ENG 130,EXPLORING LITERATURE,3,3,AHI,Effective Writing,Fall 2014,,002610,1147,
Aesthetic and Humanistic Inquiry,ENG 130,THE WORLD OF LITERATURE,3,3,AHI,Effective Writing,Fall 2012,Summer 2014,002610,1127,1144
Aesthetic and Humanistic Inquiry,ENG 130,THE WORLD OF LITERATURE,3,3,AHI,,Spring 2005,Summer 2012,002610,1051,1124
Aesthetic and Humanistic Inquiry,ENG 130,WORLD OF LITERATURE,3,3,AHI,,Fall 2001,Winter 2004,002610,1017,1048
Aesthetic and Humanistic Inquiry,ENG 130H,EXPLORING LIT - HONORS,3,3,AHI,Effective Writing,Fall 2014,,009503,1147,
Aesthetic and Humanistic Inquiry,ENG 130H,WORLD OF LITERATURE - HONORS,3,3,AHI,,Spring 2004,Summer 2014,009503,1041,1144
Aesthetic and Humanistic Inquiry,ENG 210,PRINCIPLES IN RHETORIC,3,3,AHI,Effective Writing,Fall 2012,,002617,1127,
Aesthetic and Humanistic Inquiry,ENG 210,PRINCIPLES IN RHETORIC,3,3,AHI,,Spring 2005,Summer 2012,002617,1051,1124
Aesthetic and Humanistic Inquiry,ENG 210,PRINCIPLES/RHETORIC,3,3,AHI,,Fall 1999,Winter 2004,002617,0997,1048
Aesthetic and Humanistic Inquiry,ENG 211,PRINC OF WRITTEN ARGUMENTATN,3,3,AHI,Effective Writing,Fall 2012,,002618,1127,
Aesthetic and Humanistic Inquiry,ENG 211,PRINC OF WRITTEN ARGUMENTATN,3,3,AHI,,Spring 2005,Summer 2012,002618,1051,1124
Aesthetic and Humanistic Inquiry,ENG 211,PRINC WRITTEN ARG,3,3,AHI,,Spring 2000,Winter 2004,002618,1001,1048
Aesthetic and Humanistic Inquiry,ENG 211,PRACTICAL WRITING,3,3,AHI,,Fall 1999,Fall 1999,002618,0997,0997
Aesthetic and Humanistic Inquiry,ENG 211H,PRINC OF WRITTEN ARGUMENTATION,3,3,AHI,Effective Writing,Fall 2012,,010019,1127,
Aesthetic and Humanistic Inquiry,ENG 211H,PRINC OF WRITTEN ARGUMENTATION,3,3,AHI,,Spring 2007,Summer 2012,010019,1071,1124
Aesthetic and Humanistic Inquiry,ENG 230,INTRODUCTION TO LITERATURE,3,3,AHI,Effective Writing,Fall 2012,,002631,1127,
Aesthetic and Humanistic Inquiry,ENG 230,INTRODUCTION TO LITERATURE,3,3,AHI,,Spring 2005,Summer 2012,002631,1051,1124
Aesthetic and Humanistic Inquiry,ENG 230,INTRO TO LITERATURE,3,3,AHI,,Fall 1999,Winter 2004,002631,0997,1048
Aesthetic and Humanistic Inquiry,ENG 230H,INTRO TO LITERATURE - HONORS,3,3,AHI,,Spring 2005,,009427,1051,
Aesthetic and Humanistic Inquiry,ENG 230H,INTRO TO LIT - HONORS,3,3,AHI,,Fall 2003,Winter 2004,009427,1037,1048
Aesthetic and Humanistic Inquiry,ENG 231,BRITISH LITERATURE TO 1750,3,3,AHI,Effective Writing,Fall 2012,,002632,1127,
Aesthetic and Humanistic Inquiry,ENG 231,BRITISH LITERATURE TO 1750,3,3,AHI,,Spring 2005,Summer 2012,002632,1051,1124
Aesthetic and Humanistic Inquiry,ENG 231,BRITISH LIT TO 1750,3,3,AHI,,Fall 1999,Winter 2004,002632,0997,1048
Aesthetic and Humanistic Inquiry,ENG 231H,BRITISH LIT TO 1750 - HONORS,3,3,AHI,Effective Writing,Fall 2012,,009428,1127,
Aesthetic and Humanistic Inquiry,ENG 231H,BRITISH LIT TO 1750 - HONORS,3,3,AHI,,Fall 2003,Summer 2012,009428,1037,1124
Aesthetic and Humanistic Inquiry,ENG 232,BRITISH LITERATURE AFTER 1750,3,3,AHI,,Spring 2005,,002633,1051,
Aesthetic and Humanistic Inquiry,ENG 232,BRIT LIT AFTER 1750,3,3,AHI,,Fall 1999,Winter 2004,002633,0997,1048
Aesthetic and Humanistic Inquiry,ENG 232H,BRITISH LIT AFTR 1750 - HONORS,3,3,AHI,,Spring 2005,,009489,1051,
Aesthetic and Humanistic Inquiry,ENG 232H,BRIT LIT AFTER 1750 - HONORS,3,3,AHI,,Winter 2003,Winter 2004,009489,1038,1048
Aesthetic and Humanistic Inquiry,ENG 241,INTRO AMER LIT:  SHORT STORY,3,3,AHI,,Spring 2005,Spring 2008,002634,1051,1081
Aesthetic and Humanistic Inquiry,ENG 241,INTRO/AMERICAN LIT,3,3,AHI,,Fall 1999,Winter 2004,002634,0997,1048
Aesthetic and Humanistic Inquiry,ENG 242,AMER LIT FRM COLONIAL TO 1865,3,3,AHI,Effective Writing,Fall 2012,,002635,1127,
Aesthetic and Humanistic Inquiry,ENG 242,AMER LIT FRM COLONIAL TO 1865,3,3,AHI,,Spring 2005,Summer 2012,002635,1051,1124
Aesthetic and Humanistic Inquiry,ENG 242,AM LIT TO 1865,3,3,AHI,,Fall 1999,Winter 2004,002635,0997,1048
Aesthetic and Humanistic Inquiry,ENG 243,AMER LIT FRM 1865 TO PRESENT,3,3,AHI,Effective Writing,Fall 2012,,002636,1127,
Aesthetic and Humanistic Inquiry,ENG 243,AMER LIT FRM 1865 TO PRESENT,3,3,AHI,,Spring 2005,Summer 2012,002636,1051,1124
Aesthetic and Humanistic Inquiry,ENG 243,AM LIT 1865 TO PRES,3,3,AHI,,Fall 1999,Winter 2004,002636,0997,1048
Aesthetic and Humanistic Inquiry,ENG 245,US MULTI-ETHNIC LIT SURVEY,3,3,AHIE,Effective Writing,Fall 2012,,002637,1127,
Aesthetic and Humanistic Inquiry,ENG 245,US MULTI-ETHNIC LIT SURVEY,3,3,AHIE,,Fall 2005,Summer 2012,002637,1057,1124
Aesthetic and Humanistic Inquiry,ENG 245,US MULTI-ETHNIC LIT SURVEY,3,3,AHI,,Spring 2005,Summer 2005,002637,1051,1054
Aesthetic and Humanistic Inquiry,ENG 245,US MULTI-ETHNIC LIT,3,3,AHI,,Fall 2000,Winter 2004,002637,1007,1048
Aesthetic and Humanistic Inquiry,ENG 245H,US MULTI-ETHNC LIT SRVY-HONORS,3,3,AHIE,Effective Writing,Fall 2012,,009688,1127,
Aesthetic and Humanistic Inquiry,ENG 245H,US MULTI-ETHNC LIT SRVY-HONORS,3,3,AHIE,,Fall 2005,Summer 2012,009688,1057,1124
Aesthetic and Humanistic Inquiry,ENG 245H,US MULTI-ETHNC LIT SRVY-HONORS,3,3,AHI,,Spring 2005,Summer 2005,009688,1051,1054
Aesthetic and Humanistic Inquiry,ENG 247,INTRO TO AFRICAN AMERICAN LIT,3,3,AHIE,Effective Writing,Fall 2012,,009812,1127,
Aesthetic and Humanistic Inquiry,ENG 247,INTRO TO AFRICAN AMERICAN LIT,3,3,AHIE,,Spring 2008,Summer 2012,009812,1081,1124
Aesthetic and Humanistic Inquiry,ENG 247H,INTRO TO AFRICAN AMERICAN LIT,3,3,AHIE,Effective Writing,Fall 2012,,010150,1127,
Aesthetic and Humanistic Inquiry,ENG 247H,INTRO TO AFRICAN AMERICAN LIT,3,3,AHIE,,Spring 2008,Summer 2012,010150,1081,1124
Aesthetic and Humanistic Inquiry,ENG 251,ANCIENT LITERATURE,3,3,AHI,,Fall 1999,Summer 2009,002638,0997,1094
Aesthetic and Humanistic Inquiry,ENG 252,EUROPEAN LITERATURE,3,3,AHI,,Fall 1999,Spring 2012,002639,0997,1121
Aesthetic and Humanistic Inquiry,ENG 253,WORLD LITERATURE,3,3,AHI,Effective Writing,Fall 2012,,002640,1127,
Aesthetic and Humanistic Inquiry,ENG 253,WORLD LITERATURE,3,3,AHI,,Fall 1999,Summer 2012,002640,0997,1124
Aesthetic and Humanistic Inquiry,ENG 261,INTRO TO WOMEN WRITERS,3,3,AHI,Effective Writing,Fall 2012,,002642,1127,
Aesthetic and Humanistic Inquiry,ENG 261,INTRO TO WOMEN WRITERS,3,3,AHI,,Spring 2000,Summer 2012,002642,1001,1124
Aesthetic and Humanistic Inquiry,ENG 261,INTRO WOMEN WRITERS,3,3,AHI,,Fall 1999,Winter 2004,002642,0997,1048
Aesthetic and Humanistic Inquiry,ENG 261H,INTRO WOMEN WRITERS - HONORS,3,3,AHI,Critical Thinking,Fall 2012,,009440,1127,
Aesthetic and Humanistic Inquiry,ENG 261H,INTRO WOMEN WRITERS - HONORS,3,3,AHI,,Fall 2003,Summer 2012,009440,1037,1124
Aesthetic and Humanistic Inquiry,ENG 280,FOLKLORE,3,3,AHI,,Fall 1999,Spring 2008,002645,0997,1081
Aesthetic and Humanistic Inquiry,ENG 335,SHAKESPEARE,3,3,AHI,Critical Thinking,Fall 2012,,002682,1127,
Aesthetic and Humanistic Inquiry,ENG 335,SHAKESPEARE,3,3,AHI,,Fall 1999,Summer 2012,002682,0997,1124
Aesthetic and Humanistic Inquiry,ENG 335H,SHAKESPEARE - HONORS,3,3,AHI,Critical Thinking,Fall 2012,,009429,1127,
Aesthetic and Humanistic Inquiry,ENG 335H,SHAKESPEARE - HONORS,3,3,AHI,,Fall 2003,Summer 2012,009429,1037,1124
Aesthetic and Humanistic Inquiry,ENG 341,AMERICAN FICTION,3,3,AHI,Effective Writing,Fall 2014,,002687,1147,
Aesthetic and Humanistic Inquiry,ENG 341,THE AMERICAN NOVEL,3,3,AHI,Effective Writing,Fall 2012,Summer 2014,002687,1127,1144
Aesthetic and Humanistic Inquiry,ENG 341,THE AMERICAN NOVEL,3,3,AHI,,Fall 1999,Summer 2012,002687,0997,1124
Aesthetic and Humanistic Inquiry,ENG 341H,AMERICAN FICTION - HONORS,3,3,AHI,Effective Writing,Fall 2014,,009862,1147,
Aesthetic and Humanistic Inquiry,ENG 341H,THE AMERICAN NOVEL - HONORS,3,3,AHI,Effective Writing,Fall 2012,Summer 2014,009862,1127,1144
Aesthetic and Humanistic Inquiry,ENG 341H,THE AMERICAN NOVEL - HONORS,3,3,AHI,,Spring 2006,Summer 2012,009862,1061,1124
